time,count,activity
2026-05-02 12:37:06.497349,1,Low
2026-05-02 12:37:06.597727,1,Low
2026-05-02 12:37:06.695650,1,Low
2026-05-02 12:37:06.833002,1,Low
2026-05-02 12:37:06.937107,1,Low
2026-05-02 12:37:07.039544,1,Low
2026-05-02 12:37:07.128917,1,Low
2026-05-02 12:37:07.242735,1,Low
2026-05-02 12:37:07.326795,1,Low
2026-05-02 12:37:07.446728,1,Low
2026-05-02 12:37:07.564047,1,Low
2026-05-02 12:37:07.688252,1,Low
2026-05-02 12:37:07.779844,1,Low
2026-05-02 12:37:07.922560,1,Low
2026-05-02 12:37:08.026806,1,Low
2026-05-02 12:37:08.156248,1,Low
2026-05-02 12:37:08.251564,1,Low
2026-05-02 12:37:08.433096,1,Low
2026-05-02 12:37:08.526755,1,Low
2026-05-02 12:37:08.636907,1,Low
2026-05-02 12:37:08.757212,1,Low
2026-05-02 12:37:08.872539,1,Low
2026-05-02 12:37:08.987692,0,Low
2026-05-02 12:37:09.109614,0,Low
2026-05-02 12:37:09.234595,0,Low
2026-05-02 12:37:09.341844,0,Low
2026-05-02 12:37:09.466251,0,Low
2026-05-02 12:37:09.571489,0,Low
2026-05-02 12:37:09.716387,0,Low
2026-05-02 12:37:09.831764,0,Low
2026-05-02 12:37:09.946978,1,Low
2026-05-02 12:37:10.039200,0,Low
2026-05-02 12:37:10.188746,0,Low
2026-05-02 12:37:10.255462,0,Low
2026-05-02 12:37:10.310287,0,Low
2026-05-02 12:37:10.359632,0,Low
2026-05-02 12:37:10.402768,0,Low
2026-05-02 12:37:10.470851,1,Low
2026-05-02 12:37:10.527472,1,Low
2026-05-02 12:37:10.592055,1,Low
2026-05-02 12:37:10.639088,1,Low
2026-05-02 12:37:10.690493,1,Low
2026-05-02 12:37:10.750110,1,Low
2026-05-02 12:37:10.806413,1,Low
2026-05-02 12:37:10.859285,0,Low
2026-05-02 12:37:10.923127,0,Low
2026-05-02 12:37:10.985475,1,Low
2026-05-02 12:37:11.052995,0,Low
2026-05-02 12:37:11.119543,0,Low
2026-05-02 12:37:11.175736,1,Low
2026-05-02 12:37:11.236120,1,Low
2026-05-02 12:37:11.290591,1,Low
2026-05-02 12:37:11.352648,1,Low
2026-05-02 12:37:11.416032,0,Low
2026-05-02 12:37:11.473128,0,Low
2026-05-02 12:37:11.534082,0,Low
2026-05-02 12:37:11.599990,1,Low
2026-05-02 12:37:11.664410,1,Low
2026-05-02 12:37:11.718557,1,Low
2026-05-02 12:37:11.775373,0,Low
2026-05-02 12:37:11.836166,0,Low
2026-05-02 12:37:11.892081,1,Low
2026-05-02 12:37:11.950208,1,Low
2026-05-02 12:37:12.009680,1,Low
2026-05-02 12:37:12.085549,1,Low
2026-05-02 12:37:12.168338,1,Low
2026-05-02 12:37:12.334992,1,Low
2026-05-02 12:37:12.388089,1,Low
2026-05-02 12:37:12.447156,1,Low
2026-05-02 12:37:12.500087,1,Low
2026-05-02 12:37:12.589478,1,Low
2026-05-02 12:37:12.667438,1,Low
2026-05-02 12:37:12.737642,1,Low
2026-05-02 12:37:12.795723,1,Low
2026-05-02 12:37:12.881355,1,Low
2026-05-02 12:37:12.945489,1,Low
